,state,county,cousub,cntyname_2020,state_alpha_2020,rent50_0_2020,rent50_0_2021,rent_50_0,rent50_1_2020,rent50_1_2021,rent_50_1,rent50_2_2020,rent50_2_2021,rent_50_2,rent50_3_2020,rent50_3_2021,rent_50_3,rent50_4_2020,rent50_4_2021,rent_50_4,pop2017_2020,pop2017_2021,pop2017
0,48,59,99999,Callahan County,TX,673,761.0,715.0,699,789.0,760.0,920,1028.0,981.0,1209,1383.0,1337.0,1560,1764.0,1658.0,13660,13660.0,13660.0
1,48,253,99999,Jones County,TX,673,761.0,715.0,699,789.0,760.0,920,1028.0,981.0,1209,1383.0,1337.0,1560,1764.0,1658.0,19970,19970.0,19970.0
2,48,441,99999,Taylor County,TX,673,761.0,715.0,699,789.0,760.0,920,1028.0,981.0,1209,1383.0,1337.0,1560,1764.0,1658.0,135370,135370.0,135370.0
3,72,3,99999,Aguada Municipio,PR,386,401.0,407.0,397,414.0,423.0,452,472.0,486.0,591,602.0,604.0,713,720.0,711.0,39470,39470.0,39470.0
4,72,5,99999,Aguadilla Municipio,PR,386,401.0,407.0,397,414.0,423.0,452,472.0,486.0,591,602.0,604.0,713,720.0,711.0,55720,55720.0,55720.0
5,72,11,99999,Añasco Municipio,PR,386,401.0,407.0,397,414.0,423.0,452,472.0,486.0,591,602.0,604.0,713,720.0,711.0,27890,27890.0,27890.0
6,72,71,99999,Isabela Municipio,PR,386,401.0,407.0,397,414.0,423.0,452,472.0,486.0,591,602.0,604.0,713,720.0,711.0,43315,43315.0,43315.0
7,72,81,99999,Lares Municipio,PR,386,401.0,407.0,397,414.0,423.0,452,472.0,486.0,591,602.0,604.0,713,720.0,711.0,27320,27320.0,27320.0
8,72,99,99999,Moca Municipio,PR,386,401.0,407.0,397,414.0,423.0,452,472.0,486.0,591,602.0,604.0,713,720.0,711.0,37675,37675.0,37675.0
9,72,117,99999,Rincón Municipio,PR,386,401.0,407.0,397,414.0,423.0,452,472.0,486.0,591,602.0,604.0,713,720.0,711.0,14525,14525.0,14525.0
10,72,131,99999,San Sebastián Municipio,PR,386,401.0,407.0,397,414.0,423.0,452,472.0,486.0,591,602.0,604.0,713,720.0,711.0,38970,38970.0,38970.0
11,72,141,99999,Utuado Municipio,PR,379,379.0,407.0,390,390.0,423.0,444,444.0,486.0,553,552.0,604.0,601,602.0,711.0,30210,30210.0,30210.0
12,39,133,99999,Portage County,OH,600,607.0,653.0,709,712.0,751.0,912,911.0,953.0,1147,1147.0,1206.0,1235,1235.0,1292.0,162080,162080.0,162080.0
13,39,153,99999,Summit County,OH,600,607.0,653.0,709,712.0,751.0,912,911.0,953.0,1147,1147.0,1206.0,1235,1235.0,1292.0,541320,541320.0,541320.0
14,13,7,99999,Baker County,GA,643,668.0,562.0,666,690.0,581.0,791,814.0,704.0,1031,1054.0,887.0,1151,1215.0,1036.0,3250,3250.0,3250.0
15,13,95,99999,Dougherty County,GA,643,668.0,711.0,666,690.0,737.0,791,814.0,865.0,1031,1054.0,1121.0,1151,1215.0,1359.0,91520,91520.0,91520.0
16,13,177,99999,Lee County,GA,643,668.0,711.0,666,690.0,737.0,791,814.0,865.0,1031,1054.0,1121.0,1151,1215.0,1359.0,29215,29215.0,29215.0
17,13,273,99999,Terrell County,GA,643,668.0,711.0,666,690.0,737.0,791,814.0,865.0,1031,1054.0,1121.0,1151,1215.0,1359.0,8980,8980.0,8980.0
18,13,321,99999,Worth County,GA,643,668.0,711.0,666,690.0,737.0,791,814.0,865.0,1031,1054.0,1121.0,1151,1215.0,1359.0,20810,20810.0,20810.0
19,41,43,99999,Linn County,OR,758,839.0,854.0,875,908.0,915.0,1153,1197.0,1203.0,1643,1681.0,1674.0,1919,1994.0,1965.0,121075,121075.0,121075.0
20,36,1,99999,Albany County,NY,806,873.0,959.0,922,984.0,1068.0,1136,1205.0,1301.0,1416,1499.0,1608.0,1539,1634.0,1764.0,308580,308580.0,308580.0
21,36,83,99999,Rensselaer County,NY,806,873.0,959.0,922,984.0,1068.0,1136,1205.0,1301.0,1416,1499.0,1608.0,1539,1634.0,1764.0,159800,159800.0,159800.0
22,36,91,99999,Saratoga County,NY,806,873.0,959.0,922,984.0,1068.0,1136,1205.0,1301.0,1416,1499.0,1608.0,1539,1634.0,1764.0,226630,226630.0,226630.0
23,36,93,99999,Schenectady County,NY,806,873.0,959.0,922,984.0,1068.0,1136,1205.0,1301.0,1416,1499.0,1608.0,1539,1634.0,1764.0,155240,155240.0,155240.0
24,36,95,99999,Schoharie County,NY,806,873.0,959.0,922,984.0,1068.0,1136,1205.0,1301.0,1416,1499.0,1608.0,1539,1634.0,1764.0,31610,31610.0,31610.0
25,35,1,99999,Bernalillo County,NM,612,669.0,716.0,764,830.0,883.0,940,1013.0,1071.0,1356,1450.0,1521.0,1614,1742.0,1833.0,674855,674855.0,674855.0
26,35,43,99999,Sandoval County,NM,612,669.0,716.0,764,830.0,883.0,940,1013.0,1071.0,1356,1450.0,1521.0,1614,1742.0,1833.0,138815,138815.0,138815.0
27,35,57,99999,Torrance County,NM,612,669.0,716.0,764,830.0,883.0,940,1013.0,1071.0,1356,1450.0,1521.0,1614,1742.0,1833.0,15535,15535.0,15535.0
28,35,61,99999,Valencia County,NM,612,669.0,716.0,764,830.0,883.0,940,1013.0,1071.0,1356,1450.0,1521.0,1614,1742.0,1833.0,75845,75845.0,75845.0
29,22,43,99999,Grant Parish,LA,556,569.0,577.0,687,684.0,676.0,853,862.0,868.0,1122,1142.0,1165.0,1271,1261.0,1268.0,22305,22305.0,22305.0
30,22,79,99999,Rapides Parish,LA,556,569.0,577.0,687,684.0,676.0,853,862.0,868.0,1122,1142.0,1165.0,1271,1261.0,1268.0,132080,132080.0,132080.0
31,42,25,99999,Carbon County,PA,742,851.0,898.0,861,962.0,1011.0,1098,1230.0,1288.0,1421,1591.0,1660.0,1487,1668.0,1747.0,63985,63985.0,63985.0
32,42,77,99999,Lehigh County,PA,742,851.0,898.0,861,962.0,1011.0,1098,1230.0,1288.0,1421,1591.0,1660.0,1487,1668.0,1747.0,360775,360775.0,360775.0
33,42,95,99999,Northampton County,PA,742,851.0,898.0,861,962.0,1011.0,1098,1230.0,1288.0,1421,1591.0,1660.0,1487,1668.0,1747.0,300940,300940.0,300940.0
34,34,41,99999,Warren County,NJ,891,995.0,1058.0,1017,1101.0,1192.0,1246,1356.0,1461.0,1553,1687.0,1806.0,1688,1839.0,1999.0,107090,107090.0,107090.0
35,42,13,99999,Blair County,PA,595,609.0,596.0,654,686.0,731.0,817,855.0,895.0,1018,1063.0,1106.0,1107,1159.0,1214.0,124735,124735.0,124735.0
36,48,11,99999,Armstrong County,TX,638,670.0,664.0,723,751.0,761.0,934,965.0,970.0,1276,1317.0,1314.0,1428,1498.0,1518.0,1930,1930.0,1930.0
37,48,65,99999,Carson County,TX,638,670.0,664.0,723,751.0,761.0,934,965.0,970.0,1276,1317.0,1314.0,1428,1498.0,1518.0,6035,6035.0,6035.0
38,48,375,99999,Potter County,TX,638,670.0,664.0,723,751.0,761.0,934,965.0,970.0,1276,1317.0,1314.0,1428,1498.0,1518.0,121230,121230.0,121230.0
39,48,381,99999,Randall County,TX,638,670.0,664.0,723,751.0,761.0,934,965.0,970.0,1276,1317.0,1314.0,1428,1498.0,1518.0,130550,130550.0,130550.0
40,48,359,99999,Oldham County,TX,689,736.0,707.0,782,825.0,811.0,1010,1060.0,1034.0,1259,1318.0,1278.0,1544,1645.0,1618.0,2085,2085.0,2085.0
41,19,169,99999,Story County,IA,720,791.0,830.0,744,794.0,841.0,903,954.0,994.0,1255,1354.0,1412.0,1493,1564.0,1667.0,95890,95890.0,95890.0
42,2,20,99999,Anchorage Municipality,AK,994,937.0,938.0,1054,989.0,1015.0,1388,1303.0,1335.0,2002,1865.0,1896.0,2437,2256.0,2285.0,298225,298225.0,298225.0
43,2,170,99999,Matanuska-Susitna Borough,AK,785,780.0,788.0,839,825.0,836.0,1105,1086.0,1096.0,1594,1554.0,1557.0,1940,1880.0,1876.0,101135,101135.0,101135.0
44,26,161,99999,Washtenaw County,MI,983,1118.0,1136.0,1007,1134.0,1137.0,1228,1374.0,1369.0,1579,1732.0,1692.0,1930,2057.0,1970.0,361510,361510.0,361510.0
45,1,15,99999,Calhoun County,AL,490,510.0,595.0,556,580.0,599.0,732,764.0,788.0,952,998.0,1046.0,1121,1156.0,1177.0,115525,115525.0,115525.0
46,55,15,99999,Calumet County,WI,640,629.0,684.0,667,659.0,728.0,866,854.0,936.0,1202,1173.0,1265.0,1206,1177.0,1269.0,49735,49735.0,49735.0
47,55,87,99999,Outagamie County,WI,640,629.0,684.0,667,659.0,728.0,866,854.0,936.0,1202,1173.0,1265.0,1206,1177.0,1269.0,183290,183290.0,183290.0
48,72,13,99999,Arecibo Municipio,PR,393,399.0,421.0,400,409.0,428.0,461,466.0,488.0,609,620.0,651.0,760,780.0,770.0,89550,89550.0,89550.0
49,72,27,99999,Camuy Municipio,PR,393,399.0,421.0,400,409.0,428.0,461,466.0,488.0,609,620.0,651.0,760,780.0,770.0,32935,32935.0,32935.0
50,72,65,99999,Hatillo Municipio,PR,393,399.0,421.0,400,409.0,428.0,461,466.0,488.0,609,620.0,651.0,760,780.0,770.0,40980,40980.0,40980.0
51,72,115,99999,Quebradillas Municipio,PR,408,428.0,421.0,420,438.0,428.0,478,499.0,488.0,658,650.0,651.0,793,837.0,770.0,24550,24550.0,24550.0
52,37,21,99999,Buncombe County,NC,1115,1176.0,1245.0,1122,1179.0,1267.0,1347,1372.0,1444.0,1843,1878.0,1969.0,2365,2374.0,2472.0,252270,252270.0,252270.0
53,37,89,99999,Henderson County,NC,1115,1176.0,1245.0,1122,1179.0,1267.0,1347,1372.0,1444.0,1843,1878.0,1969.0,2365,2374.0,2472.0,112155,112155.0,112155.0
54,37,115,99999,Madison County,NC,1115,1176.0,1245.0,1122,1179.0,1267.0,1347,1372.0,1444.0,1843,1878.0,1969.0,2365,2374.0,2472.0,21345,21345.0,21345.0
55,37,87,99999,Haywood County,NC,696,595.0,701.0,862,756.0,905.0,981,862.0,1031.0,1247,1081.0,1281.0,1586,1380.0,1564.0,59855,59855.0,59855.0
56,13,59,99999,Clarke County,GA,735,710.0,784.0,771,749.0,832.0,904,873.0,957.0,1226,1183.0,1281.0,1452,1373.0,1500.0,123555,123555.0,123555.0
57,13,195,99999,Madison County,GA,735,710.0,784.0,771,749.0,832.0,904,873.0,957.0,1226,1183.0,1281.0,1452,1373.0,1500.0,28600,28600.0,28600.0
58,13,219,99999,Oconee County,GA,735,710.0,784.0,771,749.0,832.0,904,873.0,957.0,1226,1183.0,1281.0,1452,1373.0,1500.0,35970,35970.0,35970.0
59,13,221,99999,Oglethorpe County,GA,735,710.0,784.0,771,749.0,832.0,904,873.0,957.0,1226,1183.0,1281.0,1452,1373.0,1500.0,14655,14655.0,14655.0
60,13,13,99999,Barrow County,GA,1065,1101.0,1205.0,1096,1126.0,1226.0,1248,1284.0,1397.0,1592,1615.0,1730.0,1951,1976.0,2115.0,75100,75100.0,75100.0
61,13,15,99999,Bartow County,GA,1065,1101.0,1205.0,1096,1126.0,1226.0,1248,1284.0,1397.0,1592,1615.0,1730.0,1951,1976.0,2115.0,102625,102625.0,102625.0
62,13,45,99999,Carroll County,GA,1065,1101.0,1205.0,1096,1126.0,1226.0,1248,1284.0,1397.0,1592,1615.0,1730.0,1951,1976.0,2115.0,114900,114900.0,114900.0
63,13,57,99999,Cherokee County,GA,1065,1101.0,1205.0,1096,1126.0,1226.0,1248,1284.0,1397.0,1592,1615.0,1730.0,1951,1976.0,2115.0,235895,235895.0,235895.0
64,13,63,99999,Clayton County,GA,1065,1101.0,1205.0,1096,1126.0,1226.0,1248,1284.0,1397.0,1592,1615.0,1730.0,1951,1976.0,2115.0,274150,274150.0,274150.0
65,13,67,99999,Cobb County,GA,1065,1101.0,1205.0,1096,1126.0,1226.0,1248,1284.0,1397.0,1592,1615.0,1730.0,1951,1976.0,2115.0,739070,739070.0,739070.0
