,state,county name,County seat,state initial,studio_2021,bedroom_1_2021,bedroom_2_2021,bedroom_3_2021,bedroom_4_2021
0,13,Baker County,Newton,GA,668.0,690.0,814.0,1054.0,1215.0
1,13,Dougherty County,Albany,GA,668.0,690.0,814.0,1054.0,1215.0
2,13,Lee County,Leesburg,GA,668.0,690.0,814.0,1054.0,1215.0
3,13,Terrell County,Dawson,GA,668.0,690.0,814.0,1054.0,1215.0
4,13,Worth County,Sylvester,GA,668.0,690.0,814.0,1054.0,1215.0
5,13,Clarke County,Athens,GA,710.0,749.0,873.0,1183.0,1373.0
6,13,Madison County,Danielsville,GA,710.0,749.0,873.0,1183.0,1373.0
7,13,Oconee County,Watkinsville,GA,710.0,749.0,873.0,1183.0,1373.0
8,13,Oglethorpe County,Lexington,GA,710.0,749.0,873.0,1183.0,1373.0
9,13,Barrow County,Winder,GA,1101.0,1126.0,1284.0,1615.0,1976.0
10,13,Bartow County,Cartersville,GA,1101.0,1126.0,1284.0,1615.0,1976.0
11,13,Carroll County,Carrollton,GA,1101.0,1126.0,1284.0,1615.0,1976.0
12,13,Cherokee County,Canton,GA,1101.0,1126.0,1284.0,1615.0,1976.0
13,13,Clayton County,Jonesboro,GA,1101.0,1126.0,1284.0,1615.0,1976.0
14,13,Cobb County,Marietta,GA,1101.0,1126.0,1284.0,1615.0,1976.0
15,13,Coweta County,Newnan,GA,1101.0,1126.0,1284.0,1615.0,1976.0
16,13,Dawson County,Dawsonville,GA,1101.0,1126.0,1284.0,1615.0,1976.0
17,13,DeKalb County,Decatur,GA,1101.0,1126.0,1284.0,1615.0,1976.0
18,13,Douglas County,Douglasville,GA,1101.0,1126.0,1284.0,1615.0,1976.0
19,13,Fayette County,Fayetteville,GA,1101.0,1126.0,1284.0,1615.0,1976.0
20,13,Forsyth County,Cumming,GA,1101.0,1126.0,1284.0,1615.0,1976.0
21,13,Fulton County,Atlanta,GA,1101.0,1126.0,1284.0,1615.0,1976.0
22,13,Gwinnett County,Lawrenceville,GA,1101.0,1126.0,1284.0,1615.0,1976.0
23,13,Heard County,Franklin,GA,1101.0,1126.0,1284.0,1615.0,1976.0
24,13,Henry County,McDonough,GA,1101.0,1126.0,1284.0,1615.0,1976.0
25,13,Jasper County,Monticello,GA,1101.0,1126.0,1284.0,1615.0,1976.0
26,13,Newton County,Covington,GA,1101.0,1126.0,1284.0,1615.0,1976.0
27,13,Paulding County,Dallas,GA,1101.0,1126.0,1284.0,1615.0,1976.0
28,13,Pickens County,Jasper,GA,1101.0,1126.0,1284.0,1615.0,1976.0
29,13,Pike County,Zebulon,GA,1101.0,1126.0,1284.0,1615.0,1976.0
30,13,Rockdale County,Conyers,GA,1101.0,1126.0,1284.0,1615.0,1976.0
31,13,Spalding County,Griffin,GA,1101.0,1126.0,1284.0,1615.0,1976.0
32,13,Walton County,Monroe,GA,1101.0,1126.0,1284.0,1615.0,1976.0
33,13,Butts County,Jackson,GA,675.0,680.0,896.0,1201.0,1400.0
34,13,Haralson County,Buchanan,GA,687.0,691.0,830.0,1116.0,1391.0
35,13,Lamar County,Barnesville,GA,668.0,683.0,779.0,1011.0,1201.0
36,13,Meriwether County,Greenville,GA,667.0,672.0,885.0,1197.0,1249.0
37,13,Morgan County,Madison,GA,684.0,689.0,908.0,1181.0,1572.0
38,13,Burke County,Waynesboro,GA,689.0,767.0,883.0,1200.0,1529.0
39,13,Columbia County,Appling,GA,689.0,767.0,883.0,1200.0,1529.0
40,13,McDuffie County,Thomson,GA,689.0,767.0,883.0,1200.0,1529.0
41,13,Richmond County,Augusta,GA,689.0,767.0,883.0,1200.0,1529.0
42,13,Lincoln County,Lincolnton,GA,585.0,651.0,747.0,1009.0,1013.0
43,13,Brantley County,Nahunta,GA,770.0,775.0,940.0,1314.0,1440.0
44,13,Glynn County,Brunswick,GA,770.0,775.0,940.0,1314.0,1440.0
45,13,McIntosh County,Darien,GA,770.0,775.0,940.0,1314.0,1440.0
46,13,Catoosa County,Ringgold,GA,683.0,746.0,900.0,1173.0,1402.0
47,13,Dade County,Trenton,GA,683.0,746.0,900.0,1173.0,1402.0
48,13,Walker County,Lafayette,GA,683.0,746.0,900.0,1173.0,1402.0
49,13,Chattahoochee County,Cusseta,GA,697.0,775.0,900.0,1209.0,1558.0
50,13,Harris County,Hamilton,GA,697.0,775.0,900.0,1209.0,1558.0
51,13,Marion County,Buena Vista,GA,697.0,775.0,900.0,1209.0,1558.0
52,13,Muscogee County,Columbus,GA,697.0,775.0,900.0,1209.0,1558.0
53,13,Whitfield County,Dalton,GA,559.0,640.0,794.0,1088.0,1094.0
54,13,Murray County,Chatsworth,GA,544.0,582.0,767.0,982.0,1071.0
55,13,Hall County,Gainesville,GA,807.0,884.0,1008.0,1329.0,1486.0
56,13,Liberty County,Hinesville,GA,871.0,901.0,1027.0,1470.0,1778.0
57,13,Long County,Ludowici,GA,616.0,620.0,747.0,1069.0,1183.0
58,13,Bibb County,Macon,GA,566.0,746.0,853.0,1086.0,1193.0
59,13,Crawford County,Knoxville,GA,566.0,746.0,853.0,1086.0,1193.0
60,13,Jones County,Gray,GA,566.0,746.0,853.0,1086.0,1193.0
61,13,Twiggs County,Jeffersonville,GA,566.0,746.0,853.0,1086.0,1193.0
62,13,Monroe County,Forsyth,GA,548.0,692.0,789.0,986.0,1366.0
63,13,Floyd County,Rome,GA,654.0,658.0,832.0,1115.0,1319.0
64,13,Bryan County,Pembroke,GA,948.0,996.0,1135.0,1559.0,1806.0
65,13,Chatham County,Savannah,GA,948.0,996.0,1135.0,1559.0,1806.0
66,13,Effingham County,Springfield,GA,948.0,996.0,1135.0,1559.0,1806.0
67,13,Brooks County,Quitman,GA,630.0,634.0,826.0,1165.0,1430.0
68,13,Echols County,Statenville,GA,630.0,634.0,826.0,1165.0,1430.0
69,13,Lanier County,Lakeland,GA,630.0,634.0,826.0,1165.0,1430.0
70,13,Lowndes County,Valdosta,GA,630.0,634.0,826.0,1165.0,1430.0
71,13,Houston County,Perry,GA,771.0,841.0,959.0,1255.0,1595.0
72,13,Peach County,Fort Valley,GA,555.0,638.0,841.0,1142.0,1189.0
73,13,Pulaski County,Hawkinsville,GA,570.0,635.0,724.0,1036.0,1195.0
74,13,Appling County,Baxley,GA,507.0,510.0,648.0,927.0,975.0
75,13,Atkinson County,Pearson,GA,488.0,492.0,648.0,897.0,975.0
76,13,Bacon County,Alma,GA,547.0,568.0,648.0,829.0,1122.0
77,13,Baldwin County,Milledgeville,GA,624.0,639.0,740.0,920.0,1035.0
78,13,Banks County,Homer,GA,622.0,633.0,726.0,903.0,1002.0
79,13,Ben Hill County,Fitzgerald,GA,552.0,553.0,654.0,868.0,987.0
80,13,Berrien County,Nashville,GA,494.0,497.0,648.0,927.0,958.0
81,13,Bleckley County,Cochran,GA,507.0,510.0,648.0,856.0,968.0
82,13,Bulloch County,Statesboro,GA,650.0,656.0,778.0,1113.0,1347.0
83,13,Calhoun County,Morgan,GA,488.0,492.0,648.0,806.0,879.0
84,13,Camden County,Woodbine,GA,717.0,722.0,915.0,1247.0,1506.0
85,13,Candler County,Metter,GA,507.0,510.0,648.0,880.0,955.0
86,13,Charlton County,Folkston,GA,547.0,568.0,648.0,859.0,941.0
87,13,Chattooga County,Summerville,GA,494.0,498.0,656.0,917.0,1128.0
88,13,Clay County,Fort Gaines,GA,507.0,510.0,648.0,927.0,975.0
89,13,Clinch County,Homerville,GA,507.0,510.0,648.0,927.0,975.0
90,13,Coffee County,Douglas,GA,547.0,568.0,648.0,806.0,879.0
91,13,Colquitt County,Moultrie,GA,545.0,548.0,685.0,852.0,965.0
92,13,Cook County,Adel,GA,551.0,555.0,683.0,888.0,1071.0
93,13,Crisp County,Cordele,GA,561.0,583.0,665.0,884.0,905.0
94,13,Decatur County,Bainbridge,GA,516.0,520.0,664.0,870.0,900.0
95,13,Dodge County,Eastman,GA,488.0,492.0,648.0,815.0,965.0
96,13,Dooly County,Vienna,GA,547.0,568.0,648.0,806.0,879.0
97,13,Early County,Blakely,GA,494.0,580.0,661.0,833.0,934.0
98,13,Elbert County,Elberton,GA,494.0,497.0,655.0,866.0,1019.0
99,13,Emanuel County,Swainsboro,GA,488.0,492.0,648.0,902.0,1104.0
100,13,Evans County,Claxton,GA,516.0,519.0,684.0,855.0,1140.0
101,13,Fannin County,Blue Ridge,GA,654.0,669.0,763.0,1092.0,1307.0
102,13,Franklin County,Carnesville,GA,428.0,563.0,648.0,925.0,987.0
103,13,Gilmer County,Ellijay,GA,584.0,588.0,775.0,964.0,1342.0
104,13,Glascock County,Gibson,GA,547.0,568.0,648.0,927.0,981.0
105,13,Gordon County,Calhoun,GA,554.0,570.0,684.0,977.0,1166.0
106,13,Grady County,Cairo,GA,530.0,533.0,703.0,950.0,953.0
