,state,county,cousub,county name,state initials,rent50_0_2018,rent50_0_2019,rent50_1_2018,rent50_1_2019,rent50_2_2018,rent50_2_2019,rent50_3_2018,rent50_3_2019,rent50_4_2018,rent50_4_2019,pop2010_2018,pop2010_2019,hu2010_2018,hu2010_2019
0,1,1,99999,Autauga County,AL,631,620.0,742,743.0,890,880.0,1133,1112.0,1558,1532.0,54571.0,54571.0,22135.0,22135.0
1,1,3,99999,Baldwin County,AL,786,816.0,809,835.0,929,959.0,1351,1352.0,1578,1622.0,182265.0,182265.0,104061.0,104061.0
2,1,5,99999,Barbour County,AL,527,538.0,531,541.0,706,716.0,885,901.0,998,1011.0,27457.0,27457.0,11829.0,11829.0
3,1,7,99999,Bibb County,AL,749,763.0,832,824.0,955,943.0,1273,1247.0,1424,1385.0,22915.0,22915.0,8981.0,8981.0
4,1,9,99999,Blount County,AL,749,763.0,832,824.0,955,943.0,1273,1247.0,1424,1385.0,57322.0,57322.0,23887.0,23887.0
5,1,11,99999,Bullock County,AL,512,539.0,513,548.0,643,688.0,873,912.0,876,972.0,10914.0,10914.0,4493.0,4493.0
6,1,13,99999,Butler County,AL,478,510.0,481,514.0,640,678.0,855,878.0,905,1191.0,20947.0,20947.0,9964.0,9964.0
7,1,15,99999,Calhoun County,AL,507,485.0,542,545.0,721,718.0,942,941.0,1099,1095.0,118572.0,118572.0,53289.0,53289.0
8,1,17,99999,Chambers County,AL,486,516.0,615,640.0,738,764.0,925,959.0,1005,1059.0,34215.0,34215.0,17004.0,17004.0
9,1,19,99999,Cherokee County,AL,512,520.0,516,524.0,686,693.0,966,933.0,970,937.0,25989.0,25989.0,16267.0,16267.0
10,1,21,99999,Chilton County,AL,564,563.0,615,597.0,706,683.0,1027,988.0,1243,1200.0,43643.0,43643.0,19278.0,19278.0
11,1,23,99999,Choctaw County,AL,541,541.0,545,545.0,725,721.0,909,903.0,1025,1019.0,13859.0,13859.0,7269.0,7269.0
12,1,25,99999,Clarke County,AL,483,492.0,528,538.0,606,628.0,881,908.0,978,927.0,25833.0,25833.0,12638.0,12638.0
13,1,27,99999,Clay County,AL,513,535.0,528,549.0,606,628.0,881,908.0,1067,1103.0,13932.0,13932.0,6776.0,6776.0
14,1,29,99999,Cleburne County,AL,516,515.0,520,519.0,691,686.0,866,900.0,1136,1205.0,14972.0,14972.0,6718.0,6718.0
15,1,31,99999,Coffee County,AL,581,606.0,583,610.0,686,743.0,998,1074.0,1208,1305.0,49948.0,49948.0,22330.0,22330.0
16,1,33,99999,Colbert County,AL,561,564.0,564,568.0,713,717.0,945,943.0,1183,1201.0,54428.0,54428.0,25758.0,25758.0
17,1,35,99999,Conecuh County,AL,453,474.0,456,478.0,606,628.0,854,884.0,857,887.0,13228.0,13228.0,7093.0,7093.0
18,1,37,99999,Coosa County,AL,541,546.0,541,550.0,679,727.0,915,922.0,960,1027.0,11539.0,11539.0,6478.0,6478.0
19,1,39,99999,Covington County,AL,474,488.0,477,491.0,634,632.0,838,847.0,1117,1100.0,37765.0,37765.0,18829.0,18829.0
20,1,41,99999,Crenshaw County,AL,456,472.0,459,475.0,606,628.0,773,787.0,971,966.0,13906.0,13906.0,6735.0,6735.0
21,1,43,99999,Cullman County,AL,513,536.0,544,577.0,674,714.0,890,962.0,918,965.0,80406.0,80406.0,37054.0,37054.0
22,1,45,99999,Dale County,AL,427,507.0,516,532.0,652,668.0,892,902.0,1148,1173.0,50251.0,50251.0,22677.0,22677.0
23,1,47,99999,Dallas County,AL,474,543.0,517,562.0,606,673.0,813,871.0,933,953.0,43820.0,43820.0,20208.0,20208.0
24,1,49,99999,DeKalb County,AL,453,472.0,456,475.0,606,628.0,780,833.0,825,849.0,71109.0,71109.0,31109.0,31109.0
25,1,51,99999,Elmore County,AL,631,620.0,742,743.0,890,880.0,1133,1112.0,1558,1532.0,79303.0,79303.0,32657.0,32657.0
26,1,53,99999,Escambia County,AL,527,497.0,542,555.0,623,635.0,819,847.0,849,869.0,38319.0,38319.0,16486.0,16486.0
27,1,55,99999,Etowah County,AL,530,538.0,533,542.0,709,717.0,889,905.0,1042,1050.0,104430.0,104430.0,47454.0,47454.0
28,1,57,99999,Fayette County,AL,483,492.0,528,549.0,606,628.0,851,841.0,857,887.0,17241.0,17241.0,8437.0,8437.0
29,1,59,99999,Franklin County,AL,490,497.0,526,548.0,615,634.0,771,794.0,869,857.0,31704.0,31704.0,14022.0,14022.0
30,1,61,99999,Geneva County,AL,572,553.0,576,557.0,748,732.0,1005,972.0,1173,1124.0,26790.0,26790.0,12687.0,12687.0
31,1,63,99999,Greene County,AL,483,492.0,483,549.0,606,628.0,854,884.0,857,887.0,9045.0,9045.0,5007.0,5007.0
32,1,65,99999,Hale County,AL,640,699.0,704,750.0,859,900.0,1103,1161.0,1170,1217.0,15760.0,15760.0,7655.0,7655.0
33,1,67,99999,Henry County,AL,570,503.0,586,561.0,673,642.0,844,820.0,1185,1128.0,17302.0,17302.0,8891.0,8891.0
34,1,69,99999,Houston County,AL,572,553.0,576,557.0,748,732.0,1005,972.0,1173,1124.0,101547.0,101547.0,45319.0,45319.0
35,1,71,99999,Jackson County,AL,418,459.0,542,605.0,655,715.0,821,896.0,892,966.0,53227.0,53227.0,24786.0,24786.0
36,1,73,99999,Jefferson County,AL,749,763.0,832,824.0,955,943.0,1273,1247.0,1424,1385.0,658466.0,658466.0,300552.0,300552.0
37,1,75,99999,Lamar County,AL,483,492.0,523,546.0,606,628.0,854,908.0,857,940.0,14564.0,14564.0,7354.0,7354.0
38,1,77,99999,Lauderdale County,AL,561,564.0,564,568.0,713,717.0,945,943.0,1183,1201.0,92709.0,92709.0,43791.0,43791.0
39,1,79,99999,Lawrence County,AL,465,473.0,549,557.0,703,718.0,917,927.0,974,986.0,34339.0,34339.0,15229.0,15229.0
40,1,81,99999,Lee County,AL,598,588.0,680,674.0,889,875.0,1190,1164.0,1439,1381.0,140247.0,140247.0,62391.0,62391.0
41,1,83,99999,Limestone County,AL,558,635.0,646,743.0,768,877.0,1034,1175.0,1353,1540.0,82782.0,82782.0,34977.0,34977.0
42,1,85,99999,Lowndes County,AL,631,620.0,742,743.0,890,880.0,1133,1112.0,1558,1532.0,11299.0,11299.0,5140.0,5140.0
43,1,87,99999,Macon County,AL,474,502.0,477,505.0,634,668.0,911,906.0,1059,1140.0,21452.0,21452.0,10259.0,10259.0
44,1,89,99999,Madison County,AL,558,635.0,646,743.0,768,877.0,1034,1175.0,1353,1540.0,334811.0,334811.0,146447.0,146447.0
45,1,91,99999,Marengo County,AL,483,492.0,498,539.0,606,628.0,881,908.0,1067,1103.0,21027.0,21027.0,10237.0,10237.0
46,1,93,99999,Marion County,AL,453,472.0,456,475.0,606,628.0,804,844.0,953,1056.0,30776.0,30776.0,14737.0,14737.0
47,1,95,99999,Marshall County,AL,492,506.0,495,510.0,655,674.0,889,908.0,892,911.0,93019.0,93019.0,40342.0,40342.0
48,1,97,99999,Mobile County,AL,728,725.0,733,730.0,901,909.0,1182,1203.0,1369,1365.0,412992.0,412992.0,178196.0,178196.0
49,1,99,99999,Monroe County,AL,483,492.0,528,549.0,606,628.0,769,787.0,899,892.0,23068.0,23068.0,11333.0,11333.0
50,1,101,99999,Montgomery County,AL,631,620.0,742,743.0,890,880.0,1133,1112.0,1558,1532.0,229363.0,229363.0,101641.0,101641.0
