Row Labels,studio,1 bedroom, 2 bedroom 2 roommates , 3 bedroom 3 roomates , 4 bedroom 4 roomates 
AK,908,1012.1,$640.66 ,$561.64 ,$484.47 
AL,579.8,626,$383.71 ,$334.58 ,$289.26 
AR,535,574.3,$361.52 ,$318.08 ,$276.07 
AS,635,640,$421.50 ,$402.00 ,$323.25 
AZ,746.5,821.6,$518.77 ,$477.67 ,$399.23 
CA,1137.1,1290.8,$817.39 ,$751.35 ,$653.17 
CO,873.5,932.1,$584.14 ,$523.31 ,$456.23 
CT,973.9,1154.8,$720.85 ,$606.67 ,$535.95 
DC,1643,1682,$958.50 ,$819.00 ,$744.50 
DE,868.3,962.7,$591.17 ,$526.67 ,$456.67 
FL,821.8,890.6,$544.60 ,$482.63 ,$429.09 
GA,669.8,697.8,$420.10 ,$367.77 ,$325.62 
GU,1074,1177,$775.50 ,$740.00 ,$671.25 
HI,1391.4,1552.6,$993.30 ,$913.07 ,$789.60 
IA,558.4,612.7,$392.35 ,$345.95 ,$287.86 
ID,622.5,672.8,$431.51 ,$401.36 ,$352.24 
IL,598.9,668.7,$420.00 ,$366.66 ,$309.51 
IN,593,665.9,$419.88 ,$366.35 ,$312.82 
KS,581,611.7,$390.61 ,$342.36 ,$291.53 
KY,548.3,605.4,$381.38 ,$337.16 ,$286.12 
LA,665.3,729.2,$443.91 ,$386.80 ,$331.49 
MA,1254.8,1393,$870.34 ,$727.18 ,$603.54 
MD,1012.8,1125.5,$682.31 ,$600.88 ,$531.65 
ME,699.9,761.1,$478.34 ,$410.67 ,$356.09 
MI,606.7,678.2,$427.39 ,$372.73 ,$309.62 
MN,606.9,693.6,$440.68 ,$399.89 ,$341.40 
MO,536.2,595.6,$381.18 ,$337.44 ,$289.39 
MP,545,627,$413.00 ,$394.00 ,$357.50 
MS,573.1,611.7,$377.01 ,$324.95 ,$277.80 
MT,619.6,690.1,$438.32 ,$389.75 ,$342.59 
NC,694.2,712.6,$435.68 ,$383.90 ,$346.54 
ND,625.1,641.8,$403.06 ,$369.65 ,$313.01 
NE,525.7,615.6,$392.94 ,$341.29 ,$285.01 
NH,842.4,958.8,$610.95 ,$532.20 ,$474.13 
NJ,1166.4,1353.3,$835.48 ,$710.37 ,$611.25 
NM,681.8,728.1,$448.92 ,$404.06 ,$359.95 
NV,655.1,759.2,$482.12 ,$448.22 ,$385.65 
NY,908.6,990.1,$601.05 ,$512.49 ,$423.08 
OH,597,662.2,$416.83 ,$361.41 ,$301.16 
OK,589.4,623.3,$395.06 ,$346.98 ,$297.63 
OR,785.6,891.1,$555.96 ,$522.96 ,$463.33 
PA,680.2,746.8,$464.37 ,$399.41 ,$332.56 
PR,418.6,448.7,$257.91 ,$229.26 ,$204.63 
RI,935.5,1044.2,$634.77 ,$538.33 ,$482.96 
SC,697.1,732.1,$439.60 ,$385.88 ,$342.17 
SD,538.6,599.1,$385.08 ,$339.59 ,$299.10 
TN,617.8,657.3,$406.39 ,$357.80 ,$312.02 
TX,669,737.6,$456.15 ,$403.31 ,$351.80 
UT,658.5,742.8,$460.86 ,$416.63 ,$374.19 
VA,832.7,897.1,$536.15 ,$474.35 ,$420.08 
VI,1007.3,1149,$712.17 ,$590.56 ,$482.83 
VT,808.3,897.5,$555.55 ,$477.73 ,$392.70 
WA,800.5,904.1,$568.76 ,$530.38 ,$468.54 
WI,595,667.5,$428.05 ,$375.54 ,$313.96 
WV,595.1,628.8,$384.60 ,$336.71 ,$290.85 
WY,682.1,718.4,$448.20 ,$404.13 ,$376.05 
