ID,state,county,county name,state initial,pop2017,studio_2020,studio_2021,bedroom_1_2020,bedroom_1_2021,bedroom_2_2020,bedroom_2_2021,bedroom_3_2020,bedroom_3_2021,bedroom_4_2020,bedroom_4_2021,% change Studio ,% change bedroom_1,% change bedroom_2,% change bedroom_3,% change bedroom_4,Avg Studio ,Avg bedroom_1,Avg bedroom_2,Avg bedroom_3,Avg bedroom_4
0,48,59,Callahan County,TX,13660,673,761,699,789,920,1028,1209,1383,1560,1764,13.07578009,12.87553648,11.73913043,14.39205955,13.07692308,4.00,3.47,3.67,3.23,-3.34
1,48,253,Jones County,TX,19970,673,761,699,789,920,1028,1209,1383,1560,1764,13.07578009,12.87553648,11.73913043,14.39205955,-10.50583658,,,,,
2,48,441,Taylor County,TX,135370,673,761,699,789,920,1028,1209,1383,1560,1764,13.07578009,12.87553648,11.73913043,14.39205955,-10.50583658,,,,,
3,72,3,Aguada Municipio,PR,39470,386,401,397,414,452,472,591,602,713,720,3.886010363,4.282115869,4.424778761,1.861252115,-4.237288136,,,,,
4,72,5,Aguadilla Municipio,PR,55720,386,401,397,414,452,472,591,602,713,720,3.886010363,4.282115869,4.424778761,1.861252115,-4.237288136,,,,,
5,72,11,Añasco Municipio,PR,27890,386,401,397,414,452,472,591,602,713,720,3.886010363,4.282115869,4.424778761,1.861252115,-4.237288136,,,,,
6,72,71,Isabela Municipio,PR,43315,386,401,397,414,452,472,591,602,713,720,3.886010363,4.282115869,4.424778761,1.861252115,-4.237288136,,,,,
7,72,81,Lares Municipio,PR,27320,386,401,397,414,452,472,591,602,713,720,3.886010363,4.282115869,4.424778761,1.861252115,-4.237288136,,,,,
8,72,99,Moca Municipio,PR,37675,386,401,397,414,452,472,591,602,713,720,3.886010363,4.282115869,4.424778761,1.861252115,-4.237288136,,,,,
9,72,117,Rincón Municipio,PR,14525,386,401,397,414,452,472,591,602,713,720,3.886010363,4.282115869,4.424778761,1.861252115,-4.237288136,,,,,
10,72,131,San Sebastián Municipio,PR,38970,386,401,397,414,452,472,591,602,713,720,3.886010363,4.282115869,4.424778761,1.861252115,-4.237288136,,,,,
11,72,141,Utuado Municipio,PR,30210,379,379,390,390,444,444,553,552,601,602,0,0,0,-0.180831826,0,,,,,
12,39,133,Portage County,OH,162080,600,607,709,712,912,911,1147,1147,1235,1235,1.166666667,0.423131171,-0.109649123,0,0.109769484,,,,,
13,39,153,Summit County,OH,541320,600,607,709,712,912,911,1147,1147,1235,1235,1.166666667,0.423131171,-0.109649123,0,0.109769484,,,,,
14,13,7,Baker County,GA,3250,643,668,666,690,791,814,1031,1054,1151,1215,3.888024883,3.603603604,2.907711757,2.230843841,-2.825552826,,,,,
15,13,95,Dougherty County,GA,91520,643,668,666,690,791,814,1031,1054,1151,1215,3.888024883,3.603603604,2.907711757,2.230843841,-2.825552826,,,,,
16,13,177,Lee County,GA,29215,643,668,666,690,791,814,1031,1054,1151,1215,3.888024883,3.603603604,2.907711757,2.230843841,-2.825552826,,,,,
17,13,273,Terrell County,GA,8980,643,668,666,690,791,814,1031,1054,1151,1215,3.888024883,3.603603604,2.907711757,2.230843841,-2.825552826,,,,,
18,13,321,Worth County,GA,20810,643,668,666,690,791,814,1031,1054,1151,1215,3.888024883,3.603603604,2.907711757,2.230843841,-2.825552826,,,,,
19,41,43,Linn County,OR,121075,758,839,875,908,1153,1197,1643,1681,1919,1994,10.68601583,3.771428571,3.81613183,2.312842362,-3.675856307,,,,,
20,36,1,Albany County,NY,308580,806,873,922,984,1136,1205,1416,1499,1539,1634,8.312655087,6.724511931,6.073943662,5.861581921,-5.726141079,,,,,
21,36,83,Rensselaer County,NY,159800,806,873,922,984,1136,1205,1416,1499,1539,1634,8.312655087,6.724511931,6.073943662,5.861581921,-5.726141079,,,,,
22,36,91,Saratoga County,NY,226630,806,873,922,984,1136,1205,1416,1499,1539,1634,8.312655087,6.724511931,6.073943662,5.861581921,-5.726141079,,,,,
23,36,93,Schenectady County,NY,155240,806,873,922,984,1136,1205,1416,1499,1539,1634,8.312655087,6.724511931,6.073943662,5.861581921,-5.726141079,,,,,
24,36,95,Schoharie County,NY,31610,806,873,922,984,1136,1205,1416,1499,1539,1634,8.312655087,6.724511931,6.073943662,5.861581921,-5.726141079,,,,,
25,35,1,Bernalillo County,NM,674855,612,669,764,830,940,1013,1356,1450,1614,1742,9.31372549,8.638743455,7.765957447,6.932153392,-7.206317868,,,,,
26,35,43,Sandoval County,NM,138815,612,669,764,830,940,1013,1356,1450,1614,1742,9.31372549,8.638743455,7.765957447,6.932153392,-7.206317868,,,,,
27,35,57,Torrance County,NM,15535,612,669,764,830,940,1013,1356,1450,1614,1742,9.31372549,8.638743455,7.765957447,6.932153392,-7.206317868,,,,,
28,35,61,Valencia County,NM,75845,612,669,764,830,940,1013,1356,1450,1614,1742,9.31372549,8.638743455,7.765957447,6.932153392,-7.206317868,,,,,
29,22,43,Grant Parish,LA,22305,556,569,687,684,853,862,1122,1142,1271,1261,2.338129496,-0.436681223,1.055099648,1.782531194,-1.044083527,,,,,
30,22,79,Rapides Parish,LA,132080,556,569,687,684,853,862,1122,1142,1271,1261,2.338129496,-0.436681223,1.055099648,1.782531194,-1.044083527,,,,,
31,42,25,Carbon County,PA,63985,742,851,861,962,1098,1230,1421,1591,1487,1668,14.69002695,11.73054588,12.02185792,11.96340605,-10.73170732,,,,,
32,42,77,Lehigh County,PA,360775,742,851,861,962,1098,1230,1421,1591,1487,1668,14.69002695,11.73054588,12.02185792,11.96340605,-10.73170732,,,,,
33,42,95,Northampton County,PA,300940,742,851,861,962,1098,1230,1421,1591,1487,1668,14.69002695,11.73054588,12.02185792,11.96340605,-10.73170732,,,,,
34,34,41,Warren County,NJ,107090,891,995,1017,1101,1246,1356,1553,1687,1688,1839,11.67227834,8.259587021,8.828250401,8.628461043,-8.112094395,,,,,
35,42,13,Blair County,PA,124735,595,609,654,686,817,855,1018,1063,1107,1159,2.352941176,4.892966361,4.651162791,4.42043222,-4.444444444,,,,,
36,48,11,Armstrong County,TX,1930,638,670,723,751,934,965,1276,1317,1428,1498,5.015673981,3.87275242,3.319057816,3.213166144,-3.212435233,,,,,
37,48,65,Carson County,TX,6035,638,670,723,751,934,965,1276,1317,1428,1498,5.015673981,3.87275242,3.319057816,3.213166144,-3.212435233,,,,,
38,48,375,Potter County,TX,121230,638,670,723,751,934,965,1276,1317,1428,1498,5.015673981,3.87275242,3.319057816,3.213166144,-3.212435233,,,,,
